PIT,EAN
133558702,8806098208777
133770201,8806084715654
133770201,8806084715241
133294081,8710103846161
133294081,8710103846154
130849441,8710103778271
130849441,8710103778264
130843436,8710103770893
130843436,8710103770886
126855864,8710103768708
126855864,8710103768692
125053405,8710103730002
125053405,8710103729990
125053376,8710103729983
125053376,8710103729976
125053341,8710103729969
125053341,8710103729952
111847811,8710103670377
111847811,8710103670360
111847811,8710103418863
111847811,8710103418832
133490701,7899968300689
133858861,7899968300672
132505801,7899968300467
132245780,7899968300382
131916684,7899963900594
129696547,7899963900402
132582250,7899963900372
132582250,7899963900365
132324701,7899963900341
132324701,7899963900334
132947706,7899882303384
132947706,7899882303377
131659649,7899882303025
131659649,7899882303018
131045399,7899882302585
131045399,7899882302578
133710840,7899864916717
133710321,7899864916700
133719781,7899864916663
133667749,7899864914836
133276561,7899864914652
133280704,7899864914010
133437783,7899864913853
133332762,7899864913556
133659706,7899864913532
131921643,7899864908002
133869367,7899466427734
133758958,7899466427727
133877308,7899466426379
133605708,7899466426362
133403743,7899466425853
132846825,7899466423989
129304574,7899466419999
129304574,7899466419982
125215742,7899466417155
125215742,7899466417131
117294081,7899466406180
117294081,7899466406173
113998217,7899466406128
113998217,7899466406111
122619602,7899081730707
124993850,7898994487449
133723835,7898960921076
127184636,7898929241993
134065707,7898620270742
133782691,7898620270704
133775951,7898620270667
133774000,7898620270650
133754543,7898615982452
133754543,7898615982445
133764573,7898573296080
133764531,7898573296066
133767029,7898573296042
133788858,7898573296035
133788831,7898573296028
133787388,7898573296011
133788760,7898573296004
133787302,7898573295991
133787281,7898573295984
133766966,7898573295977
133766923,7898573295960
133767002,7898573295953
133766940,7898573295946
133764696,7898573295939
133767088,7898573295922
133764637,7898573295915
133767061,7898573295908
133764590,7898573295892
133767045,7898573295885
133453708,7898573295847
133453724,7898573295830
133452705,7898573295823
133041746,7898573295649
133561709,7898573295595
133249782,7898573295472
132533044,7898573295168
132533028,7898573295144
132532922,7898573295120
132480721,7898573294987
127543416,7898490166633
127543416,7898490166626
120296061,7898490164202
120296061,7898490164196
113197516,7898490163335
113197516,7898490163328
7022551,7898490160501
7022551,7898490160495
124802216,7898221459768
124802216,7898221459751
120647280,7898221456859
120647280,7898221456842
110387007,7898216296941
110387007,7898216296934
133257993,7896904699364
132897606,7896904697919
133154724,7896904691665
29859261,7896904686739
134117845,7896904610918
133233166,7896584073607
133233166,7896584073591
133234960,7896584072150
133234960,7896584072143
132728706,7896584071573
132728706,7896584071566
132728731,7896584071559
132728731,7896584071542
133240729,7896584070774
133240729,7896584070767
133235006,7896584069235
133235006,7896584069228
129701887,7896584067002
129701887,7896584066999
120993300,7896584065442
120993300,7896584065435
119792551,7896584063622
118075622,7896584063455
118075622,7896584063448
119757799,7896584062069
119757799,7896584062052
113388865,7896584058987
113388865,7896584058970
111957454,7896584056556
111957454,7896584056549
111957489,7896584055917
111957489,7896584055900
110957276,7896584055658
110957276,7896584055641
110419822,7896584053470
110419822,7896584053463
7521200,7896584053449
7521200,7896584053432
7521216,7896584052091
7521216,7896584052084
7521212,7896584052077
7521212,7896584052060
124996532,7896525089001
124996532,7896525088998
126000065,7896443130809
126000065,7896443130793
126102985,7896347148375
126102985,7896347148368
126102926,7896347147484
126102926,7896347147477
120416908,7896347144209
120416908,7896347144193
123179178,7896347144117
123179178,7896347144100
124579499,7896005806258
124579499,7896005806241
132768214,7895500725705
132768214,7895500725699
132774745,7895500725446
132774745,7895500725439
124777487,7895500725088
124777487,7895500725071
124777452,7895500725064
124777452,7895500725057
124777428,7895500725026
124777428,7895500725019
122807654,7895500724753
122807654,7895500724746
113307658,7895500724067
113307658,7895500724050
7277258,7895500722384
7277258,7895500722377
122156249,7895500721028
122156249,7895500720205
126831715,7894892020238
133716651,7893299910951
133716707,7893299910852
133710381,7893299910791
133689788,7893299910753
133682527,7893299910623
133682501,7893299910616
133332720,7893299910425
133331727,7893299910418
133331760,7893299910340
133720706,7893299910272
134128704,7893299909955
133720861,7893299909948
133720888,7893299909931
133720845,7893299909917
133718358,7893299909870
133718294,7893299909856
133718331,7893299909832
133720765,7893299909801
133720749,7893299909511
132530716,7893299909184
132530732,7893299909146
132531701,7893299909139
132474101,7893299909054
132474128,7893299908989
132475702,7893299908934
132177650,7893299908811
131765724,7893299908620
131782866,7893299908507
131157788,7893299908460
132124646,7893299908101
131777741,7893299908064
131765847,7893299908026
133332869,7893299907944
132126342,7893299907791
132128743,7893299907777
132128903,7893299907685
132140662,7893299907371
133818682,7892597348091
133818666,7892597348084
134163745,7892597347964
134163729,7892597347933
133741339,7892597347858
133741849,7892597347827
133716678,7892597347698
133666703,7892597347605
133541468,7892597347568
133666181,7892597347483
133666201,7892597347469
133666164,7892597347278
133554701,7892597347216
133678149,7892597347186
133678165,7892597347155
